THE BEATLES                                                  |HEY JUDE (REMASTERED 2009)
FALL OUT BOY                                                 |MY SONGS KNOW WHAT YOU DID IN THE DARK (LIGHT EM UP)
BON JOVI                                                     |WANTED DEAD OR ALIVE (LIVE)
RIHANNA                                                      |PON DE REPLAY (REMIX)
KEVIN LYTTLE                                                 |TURN ME ON
LYNYRD SKYNYRD                                               |THE BALLAD OF CURTIS LOEW
STEVIE NICKS                                                 |STAND BACK
JIMI HENDRIX                                                 |LITTLE WING
GROUPLOVE                                                    |LOVELY CUP
MUDVAYNE                                                     |SHADOW OF A MAN
KINGS OF LEON                                                |CLOSER
ZIGGY X                                                      |X-ERCIZE 5
FUNKER VOGT                                                  |KILLING GROUND
DELTA HEAVY                                                  |MAKE IT RAIN
FIVE FOR FIGHTING                                            |SUPERMAN (LIVE)
KAISER CHIEFS                                                |NEVER MISS A BEAT
LUPE FIASCO                                                  |GO BABY
LINDSEY STIRLING                                             |NIGHT VISION
SWINDOE                                                      |BLKBERRY 2.0
BIZZY BONE                                                   |STONEHENGE
WRETCH 32                                                    |UNORTHODOX (FEAT. EXAMPLE) (RADIO EDIT)
TOOL                                                         |PUSHIT
PARLIAMENT                                                   |FLASH LIGHT (12-INCH VERSION)
BLACK SABBATH                                                |NEON KNIGHTS
CAGE THE ELEPHANT                                            |COME A LITTLE CLOSER
TRACY CHAPMAN                                                |GIVE ME ONE REASON
BLUR                                                         |SHE'S SO HIGH
PEARL JAM                                                    |JUST BREATHE
MAJOR LAZER & LA ROUX                                        |BULLETPROOF (NACEY REMIX)
CHRISTINA PERRI                                              |BACKWARDS
MARK RONSON                                                  |UPTOWN FUNK (FEAT. BRUNO MARS) (DAVE AUDE REMIX)
THE TOKENS                                                   |I'LL REMEMBER (IN THE STILL OF THE NIGHT)
BILL HALEY & HIS COMETS                                      |SHAKE, RATTLE AND ROLL
ISRAEL 'IZ' KAMAKAWIWO'OLE                                   |SOMEWHERE OVER THE RAINBOW / WHAT A WONDERFUL WORLD
JAMES TAYLOR                                                 |COUNTRY ROAD
DAFT PUNK                                                    |C.L.U.
DRAKE                                                        |WITH YOU (FEAT. PARTYNEXTDOOR)
SIMPLE PLAN                                                  |I'D DO ANYTHING
THE TEMPTATIONS                                              |I CAN'T GET NEXT TO YOU
STEELY DAN                                                   |HEY NINETEEN
MATCHBOX TWENTY                                              |BACK 2 GOOD
KANSAS                                                       |CARRY ON WAYWARD SON (LIVE)
THE RACONTEURS                                               |LEVEL
BEASTIE BOYS                                                 |POSSE IN EFFECT
C+C MUSIC FACTORY                                            |GONNA MAKE YOU SWEAT (EVERYBODY DANCE NOW)
WILL SMITH                                                   |MIAMI
RIHANNA                                                      |WHAT'S MY NAME?
MICHAEL BUBLÉ                                                |CLOSE YOUR EYES
JACK JOHNSON                                                 |BANANA PANCAKES
RUCKA RUCKA ALI                                              |I CAN DO WHATEVER I'M WHITE
ALT-J                                                        |BREEZEBLOCKS (ITUNES SESSION)
CASCADA                                                      |EVACUATE THE DANCEFLOOR
FALL OUT BOY                                                 |IMMORTALS
BACKSTREET BOYS                                              |INCOMPLETE
CHRIS THOMPSON                                               |YOU'RE THE VOICE
MEGHAN TRAINOR                                               |LIKE I'M GONNA LOSE YOU (FEAT. JOHN LEGEND)
TREY SONGZ                                                   |I INVENTED SEX (FEAT. DRAKE)
REHAB                                                        |WHT DO U WNT FRM ME
METRIC                                                       |SICK MUSE
SWING                                                        |CANOPÉE
JSWISS                                                       |(RE)PLAY (FEAT. CHANDANIE)
MAWI & HAZAMA                                                |AL NURAA....YANG 5....YANG 6 (FEAT. DALY FILSUF)
MAC MILLER                                                   |PUT IT ON
PROZAK                                                       |UNTIL THEN
TIMEFLIES                                                    |I BELIEVE
DAVE MATTHEWS & TIM REYNOLDS                                 |CRASH INTO ME (LIVE 1999)
THE MATCHES                                                  |WAKE THE SUN
SPOON                                                        |DON'T YOU EVAH
CAKE                                                         |ARCO ARENA
WEEZER                                                       |PORK AND BEANS
SEAN KINGSTON                                                |TAKE YOU THERE
WEEZER                                                       |ONLY IN DREAMS
PITBULL                                                      |I KNOW YOU WANT ME (CALLE OCHO)
SMASH MOUTH                                                  |EVERYDAY SUPERHERO
2PAC                                                         |TO LIVE & DIE IN L.A. (ALTERNATIVE VERSION)
BEN RECTOR                                                   |BRAND NEW
DAVID GUETTA & CHRIS WILLIS                                  |LOVE IS GONE (MIKE D EXTENDED MIX)
DAVID GUETTA                                                 |HEY MAMA (FEAT. NICKI MINAJ, BEBE REXHA & AFROJACK) (NOODLES REMIX)
